,idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
0,0,109740,디에스케이 *,"9,520/ -730","20,354,763/ 0","438,842",471,"1,033","1,179",765,326, , , ,55,135,223,55,-141, , , ,27,-423,170,39,-188, , , ,"1,794","1,633","1,645","1,719","1,622", , , ,951,871,578,466,567, , , ,843,762,"1,066","1,253","1,054", , , ,503,792,"1,057","1,126",962, , , ,33,101,102,102,102, , , ,2.33,-24.69,10.39,2.31,-11.23, , , ,10.29,-42.51,21.27,5.70,-14.54, , , ,362,"-1,632",966,306,-746, , , ,46.12,N/A,6.80,29.75,N/A, , , ,4.31,2.49,1.24,1.61,1.28, , , ,"13,000","20,300","20,355","20,355","20,355", , , 
1,1,095700,제넥신 *,"89,100/ -500","25,009,432/ 0","21,607",114,285,129,113,185, , , ,-309,-269,-381,-445,-392, , , ,-309,-193,-341,-165,275, , , ,"1,586","1,407","3,748","3,582","5,969", , , ,285,268,543,613,604, , , ,"1,301","1,139","3,205","2,969","5,365", , , ,"1,301","1,139","3,205","2,969","5,356", , , ,97,100,113,119,123, , , ,-20.57,-12.92,-13.22,-4.50,5.77, , , ,-24.18,-15.84,-15.68,-5.35,6.62, , , ,"-1,551",-983,"-1,569",-718,"1,138", , , ,N/A,N/A,N/A,N/A,109.25, , , ,6.45,12.86,5.13,5.00,5.73, , , ,"17,790","20,067","20,427","23,761","24,698", , , 
2,2,108230,톱텍 *,"11,000/ -150","38,023,245/ 0","66,051","3,927","11,384","3,088","1,672","3,220", , , ,420,"2,117",82,-66,289, , , ,259,"1,495",177,2,138, , , ,"4,707","4,452","3,928","4,510","4,718", , , ,"2,823","1,178",489,"1,091",649, , , ,"1,885","3,274","3,438","3,419","4,069", , , ,"1,890","3,280","3,347","3,341","3,627", , , ,182,182,185,185,191, , , ,7.61,32.64,4.22,0.05,3.00, , , ,15.34,57.85,5.96,1.09,3.03, , , ,702,"4,065",537,99,278, , , ,32.28,7.01,14.29,100.45,44.30, , , ,4.41,3.15,0.77,1.01,1.19, , , ,"36,796","36,796","36,796","36,796","38,023", , , 
3,3,100130,동국S&C *,"6,030/ -90","57,143,000/ 0",0,"3,839","3,679","3,631","3,178","2,947", , , ,256,113,-54,142,107, , , ,160,62,-114,90,38, , , ,"4,346","4,386","3,993","4,009","3,970", , , ,"1,475","1,533","1,281","1,247","1,221", , , ,"2,871","2,853","2,712","2,762","2,749", , , ,"2,664","2,658","2,563","2,618","2,602", , , ,286,286,286,286,286, , , ,3.82,1.41,-2.73,2.24,0.95, , , ,6.18,2.74,-2.55,3.69,1.34, , , ,282,127,-116,167,61, , , ,20.10,44.90,N/A,15.41,131.52, , , ,1.16,1.17,0.62,0.54,1.68, , , ,"57,143","57,143","57,143","57,143","57,143", , , 
4,4,103230,에스앤더블류 *,"2,505/ +0","7,200,000/ 0",0,422,327,302,360,335, , , ,-21,-46,-83,-22,-9, , , ,-11,-42,-102,-28,6, , , ,702,641,579,556,531, , , ,140,117,156,166,133, , , ,563,524,422,390,398, , , ,563,524,422,390,398, , , ,36,36,36,36,36, , , ,-1.50,-6.24,-16.75,-4.86,1.15, , , ,-1.89,-7.71,-21.59,-6.79,1.58, , , ,-149,-582,"-1,419",-383,87, , , ,N/A,N/A,N/A,N/A,35.79, , , ,0.63,0.39,2.48,0.61,0.56, , , ,"7,200","7,200","7,200","7,200","7,200", , , 
5,5,063080,게임빌 *,"35,700/ -600","6,595,192/ 0",500,"1,615","1,064","1,125","1,199","1,338","1,449","1,662","1,837",43,-201,-176,-171,237,392,507,604,265,86,-54,118,201,281,356,427,"3,276","3,380","3,541","3,993","4,330","4,776","5,155","5,622",912,936,"1,102","1,445","1,541","1,705","1,726","1,763","2,364","2,445","2,439","2,548","2,788","3,071","3,429","3,859","2,357","2,432","2,388","2,513","2,755","3,031","3,386","3,808",33,33,33,33,33,32,32,32,8.02,2.58,-1.57,3.14,4.84,6.17,7.18,7.92,11.88,3.56,-2.45,5.54,7.68,9.61,10.99,11.71,"4,084","1,294",-896,"2,057","3,067","4,215","5,347","6,388",11.92,71.33,N/A,14.70,12.01,8.47,6.68,5.59,1.33,2.46,1.48,0.78,0.87,0.77,0.69,0.61,"6,522","6,595","6,595","6,595","6,595", , , 
6,6,109860,동일금속 *,"14,500/ -100","7,000,000/ 0","563,000",590,712,960,866,586, , , ,16,28,97,126,33, , , ,37,38,95,157,66, , , ,"1,204","1,220","1,309","1,426","1,413", , , ,187,199,204,177,120, , , ,"1,016","1,021","1,105","1,250","1,292", , , ,"1,011","1,015","1,098","1,242","1,285", , , ,35,35,35,35,35, , , ,3.08,3.14,7.49,11.47,4.68, , , ,3.62,3.70,8.93,13.31,5.26, , , ,515,535,"1,348","2,226",949, , , ,19.72,13.79,7.79,5.62,12.17, , , ,0.67,0.48,0.64,0.68,0.61, , , ,"7,000","7,000","7,000","7,000","7,000", , , 
7,7,102120,어보브반도체 *,"14,850/ -600","17,459,653/ 0","1,500","1,032","1,058","1,095","1,268","1,442", , , ,93,75,78,139,176, , , ,70,-50,82,134,140, , , ,990,898,952,"1,105","1,401", , , ,188,159,163,201,387, , , ,802,739,789,903,"1,013", , , ,802,739,789,903,"1,013", , , ,87,87,87,87,87, , , ,7.34,-5.25,8.92,13.00,11.21, , , ,9.01,-6.43,10.80,15.80,14.65, , , ,398,-284,472,766,804, , , ,23.14,N/A,8.92,9.26,22.01, , , ,1.93,1.71,0.87,1.29,2.89, , , ,"17,460","17,460","17,460","17,460","17,460", , , 
8,8,101730,위메이드맥스 *,"5,530/ +110","15,795,635/ 0",0,315,322,288,305,379, , , ,-41,-83,-127,-110,-52, , , ,-17,-120,-417,-160,-100, , , ,921,823,414,272,421, , , ,186,207,202,226,138, , , ,735,616,212,45,283, , , ,701,594,223,80,237, , , ,43,43,43,43,79, , , ,-1.83,-13.71,-67.44,-46.64,-28.88, , , ,-2.47,-16.53,-93.92,-91.98,-65.68, , , ,-186,"-1,136","-4,073","-1,479","-1,090", , , ,N/A,N/A,N/A,N/A,N/A, , , ,0.77,1.24,1.51,2.27,1.50, , , ,"9,423","9,423","9,423","9,423","15,796", , , 
9,9,102710,이엔에프테크놀로지 *,"37,200/ -1,200","14,287,836/ 0","8,000","3,317","3,870","4,254","4,810","4,866","4,813","4,910","5,070",451,453,356,596,682,379,520,610,216,260,290,467,474,310,400,480,"2,556","2,652","3,107","3,862","4,635","4,850","5,150","5,500",893,744,865,"1,172","1,490","1,440","1,390","1,300","1,663","1,908","2,242","2,690","3,145","3,410","3,760","4,200","1,617","1,881","2,217","2,659","3,095","3,360","3,720","4,160",71,71,71,71,71,70,70,70,9.07,9.99,10.08,13.41,11.16,6.54,8.00,9.01,16.41,15.90,14.05,18.90,16.06,9.29,11.02,11.93,"1,741","1,958","2,026","3,239","3,245","2,100","2,730","3,290",13.61,13.18,6.20,8.83,14.68,17.71,13.63,11.31,2.07,1.95,0.81,1.53,2.19,1.58,1.43,1.28,"14,200","14,200","14,228","14,228","14,258", , , 
